id,person_id,bank_id
1,685-29-3762,59630-112
2,307-86-4146,50114-2282
3,643-85-8364,0187-0798
4,267-84-4305,59021-012
5,737-39-6279,41167-0850
6,685-29-3762,13811-647
7,848-01-9094,68462-385
8,737-39-6279,64679-217
9,380-33-3471,50114-2282
10,127-07-1934,49708-146
11,751-79-3881,53808-0776
12,838-85-9491,13811-647
13,776-52-9204,13811-647
14,312-06-7133,42213-162
15,468-77-4288,46414-8888
16,307-86-4146,0517-2710
17,815-75-0678,46414-8888
18,318-72-3945,11822-0323
19,897-83-6353,0517-2710
20,329-95-9039,0517-2710
21,585-26-7329,64679-217
22,811-29-1135,0187-0798
23,827-17-8065,42213-162
24,505-06-4182,43742-0088
25,114-77-8561,43553-3249
26,322-84-0335,11822-0323
27,180-68-7704,21695-703
28,592-89-3532,21130-294
29,178-82-4865,57520-0509
30,127-07-1934,68462-385
31,231-62-0816,21695-703
32,811-96-4434,41167-0850
33,869-07-9041,36987-1194
34,737-39-6279,0071-0222
35,867-72-5617,0517-2710
36,751-79-3881,0143-9669
37,665-74-7482,68462-385
38,462-20-3505,41167-0850
39,316-16-8079,36987-1194
40,685-29-3762,11822-0323
41,542-47-0145,0904-6302
42,380-33-3471,53808-0776
43,132-36-8264,21695-703
44,211-62-3861,21695-703
45,187-44-4055,21130-294
46,857-48-4236,54838-154
47,884-38-3542,0904-5834
48,869-07-9041,11822-0323
49,652-85-6112,43553-3249
50,350-76-4581,53808-0776
51,815-75-0678,57520-0522
52,500-80-0113,57520-0522
53,316-16-8079,0143-9669
54,652-85-6112,21695-703
55,180-68-7704,54868-3742
56,350-76-4581,36987-1194
57,267-02-2620,13811-647
58,114-49-3228,0904-5834
59,857-48-4236,0071-0222
60,289-48-9142,57520-0522
61,782-21-0023,52054-513
62,782-21-0023,21695-703
63,329-95-9039,59021-012
64,665-74-7482,59630-112
65,782-21-0023,13811-647
66,231-62-0816,42213-162
67,722-67-8736,43553-3249
68,452-71-0670,64679-217
69,776-52-9204,0187-0798
70,857-48-4236,36987-1194
71,814-47-7782,0071-0222
72,664-94-4158,53808-0776
73,867-72-5617,0143-9669
74,132-36-8264,0143-9669
75,506-40-7881,11822-0323
76,844-81-0333,0187-0798
77,114-77-8561,36987-1194
78,848-01-9094,59021-012
79,814-47-7782,60432-830
80,722-67-8736,0071-0222
81,577-36-4160,21695-703
82,280-72-2823,0904-6302
83,751-79-3881,50114-2282
84,844-81-0333,36987-1194
85,830-73-2137,41167-0850
86,838-85-9491,43742-0088
87,452-71-0670,57520-0522
88,816-07-9951,68462-385
89,307-86-4146,59021-012
90,473-92-2173,54838-154
91,484-85-3577,21695-703
92,505-06-4182,42213-162
93,616-64-4164,59630-112
94,815-75-0678,64679-217
95,782-21-0023,42213-162
96,484-97-3669,0517-2710
97,448-98-4201,41167-0850
98,811-29-1135,53808-0776
99,114-77-8561,59630-112
100,869-07-9041,21695-703
101,776-52-9204,42213-162
102,289-48-9142,59021-012
103,114-77-8561,59021-012
104,462-20-3505,43553-3249
105,897-83-6353,11822-0323
106,468-77-4288,53808-0776
107,307-86-4146,64679-217
108,473-92-2173,11822-0323
109,473-92-2173,60432-830
110,500-80-0113,57520-0509
111,322-84-0335,53808-0776
112,289-48-9142,0187-0798
113,897-83-6353,41520-410
114,267-02-2620,41167-0850
115,616-64-4164,11822-0323
116,652-85-6112,21130-294
117,132-36-8264,0143-9669
118,816-07-9951,59021-012
119,506-40-7881,52054-513
120,848-01-9094,60432-830
121,484-85-3577,11822-0323
122,685-29-3762,49708-146
123,276-64-0016,64679-217
124,592-89-3532,54838-154
125,897-83-6353,43553-3249
