id;person_id1;person_id2;amount;;;('884-38-3542', '776-52-9204') - 500 
1;114-49-3228;830-73-2137;446,00;;;('505-06-4182', '230-71-0031') - 2000
2;616-64-4164;711-12-7607;195,00;;;('776-52-9204', '505-06-4182') - 1000 
3;616-64-4164;506-40-7881;661,00;;;('610-96-4049', '508-38-2534') - 500
4;726-98-9896;604-17-4858;548,00;;;('827-17-8065', '508-38-2534') - 500
5;329-95-9039;418-32-2400;399,00;;;('293-16-7638', '230-71-0031') - 2000 
6;182-91-9414;182-91-9414;100,00;;;('533-01-1119', '293-16-7638') - 1000
7;652-88-6983;316-16-8079;871,00;;;('653-73-2887', '114-77-8561') - 500
8;616-64-4164;280-72-2823;723,00;;;('751-79-3881', '533-01-1119') - 500
9;782-21-0023;816-07-9951;353,00;;;('737-39-6279', '776-52-9204') - 500
10;604-17-4858;211-62-3861;359,00;;;('867-72-5617', '533-01-1119') - 500 
11;811-96-4434;782-21-0023;200,00;;;('508-38-2534', '293-16-7638') - 1000 
12;652-88-6983;726-98-9896;547,00;;;('178-82-4865', '114-77-8561') - 500
13;484-85-3577;280-72-2823;337,00;;;('114-77-8561', '505-06-4182') - 1000
14;722-67-8736;183-60-8437;123,00;;;
15;604-17-4858;664-94-4158;257,00;;;
16;746-67-6269;267-02-2620;459,00;;;
17;267-84-4305;700-19-8202;354,00;;;
18;133-42-9805;484-85-3577;173,00;;;
19;106-52-3658;127-07-1934;849,00;;;
20;307-86-4146;577-36-4160;956,00;;;
21;604-17-4858;884-38-3542;295,00;;;
22;844-81-0333;182-91-9414;690,00;;;
23;869-07-9041;554-99-3518;500,00;;;
24;506-40-7881;645-83-0179;420,00;;;
25;212-63-7394;745-18-6689;669,00;;;
26;884-38-3542;554-99-3518;109,00;;;
27;827-17-8065;329-95-9039;972,00;;;
28;869-07-9041;577-36-4160;700,00;;;
29;267-84-4305;418-32-2400;501,00;;;
30;711-12-7607;616-64-4164;778,00;;;
31;307-86-4146;653-73-2887;665,00;;;
32;533-01-1119;577-36-4160;376,00;;;
33;137-59-6823;133-42-9805;394,00;;;
34;380-33-3471;468-77-4288;233,00;;;
35;363-69-7373;542-47-0145;908,00;;;
36;448-98-4201;782-21-0023;850,00;;;
37;844-81-0333;180-68-7704;708,00;;;
38;814-47-7782;183-60-8437;177,00;;;
39;180-68-7704;473-92-2173;900,00;;;
40;133-42-9805;452-71-0670;713,00;;;
41;867-72-5617;844-81-0333;333,00;;;
42;133-42-9805;838-85-9491;914,00;;;
43;440-96-4450;381-51-7467;724,00;;;
44;114-77-8561;183-60-8437;865,00;;;
45;484-97-3669;114-49-3228;900,00;;;
46;231-62-0816;212-63-7394;398,00;;;
47;884-38-3542;816-07-9951;129,00;;;
48;665-74-7482;844-81-0333;311,00;;;
49;230-71-0031;114-49-3228;393,00;;;
50;726-98-9896;448-98-4201;936,00;;;
51;508-38-2534;452-71-0670;265,00;;;
52;448-98-4201;897-83-6353;284,00;;;
53;726-98-9896;312-06-7133;760,00;;;
54;722-67-8736;700-19-8202;216,00;;;
55;293-16-7638;106-52-3658;334,00;;;
56;554-99-3518;180-68-7704;636,00;;;
57;604-17-4858;722-67-8736;423,00;;;
58;267-84-4305;183-60-8437;189,00;;;
59;745-18-6689;879-10-1534;904,00;;;
60;280-72-2823;350-76-4581;516,00;;;
61;592-89-3532;554-99-3518;860,00;;;
62;322-84-0335;462-20-3505;355,00;;;
63;500-80-0113;653-73-2887;177,00;;;
64;267-84-4305;462-20-3505;821,00;;;
65;542-47-0145;137-59-6823;273,00;;;
66;592-89-3532;187-44-4055;164,00;;;
67;380-33-3471;440-96-4450;107,00;;;
68;700-19-8202;701-29-0287;75,00;;;
69;350-76-4581;869-07-9041;891,00;;;
70;114-77-8561;685-29-3762;426,00;;;
71;838-85-9491;423-59-5269;166,00;;;
72;867-72-5617;726-98-9896;806,00;;;
73;267-02-2620;418-32-2400;641,00;;;
74;643-85-8364;542-47-0145;333,00;;;
75;508-38-2534;293-16-7638;54,00;;;
76;811-96-4434;652-85-6112;911,00;;;
77;722-67-8736;653-73-2887;303,00;;;
78;652-88-6983;114-77-8561;282,00;;;
79;316-16-8079;604-17-4858;691,00;;;
80;533-01-1119;231-62-0816;504,00;;;
81;577-36-4160;231-62-0816;679,00;;;
82;484-85-3577;645-83-0179;883,00;;;
83;811-96-4434;231-60-2925;402,00;;;
84;722-41-3663;183-60-8437;514,00;;;
85;867-72-5617;700-19-8202;628,00;;;
86;230-71-0031;484-97-3669;175,00;;;
87;542-47-0145;830-73-2137;150,00;;;
88;554-99-3518;508-38-2534;786,00;;;
89;722-67-8736;114-77-8561;176,00;;;
90;182-91-9414;212-63-7394;832,00;;;
91;418-32-2400;182-91-9414;182,00;;;
92;147-58-0553;508-38-2534;771,00;;;
93;844-81-0333;484-85-3577;970,00;;;
94;505-06-4182;350-76-4581;829,00;;;
95;350-76-4581;500-80-0113;266,00;;;
96;736-74-0267;869-07-9041;82,00;;;
97;533-01-1119;592-89-3532;621,00;;;
98;814-47-7782;577-36-4160;428,00;;;
99;182-91-9414;395-96-3422;170,00;;;
100;857-48-4236;736-74-0267;519,00;;;
101;830-73-2137;395-96-3422;225,00;;;
102;848-01-9094;897-83-6353;130,00;;;
103;359-33-2805;542-47-0145;526,00;;;
104;643-85-8364;484-85-3577;95,00;;;
105;312-06-7133;665-74-7482;989,00;;;
106;746-67-6269;276-64-0016;324,00;;;
107;452-71-0670;722-67-8736;974,00;;;
108;448-98-4201;665-74-7482;579,00;;;
109;452-71-0670;533-01-1119;418,00;;;
110;289-48-9142;745-18-6689;792,00;;;
111;592-89-3532;267-84-4305;591,00;;;
112;604-17-4858;848-01-9094;983,00;;;
