id,person_id1,person_id2,amount
1,114-49-3228,830-73-2137,177
2,616-64-4164,711-12-7607,684
3,616-64-4164,506-40-7881,612
4,726-98-9896,604-17-4858,533
5,329-95-9039,418-32-2400,810
6,182-91-9414,182-91-9414,871
7,652-88-6983,316-16-8079,168
8,616-64-4164,280-72-2823,766
9,782-21-0023,816-07-9951,749
10,604-17-4858,211-62-3861,274
11,811-96-4434,782-21-0023,160
12,652-88-6983,726-98-9896,218
13,484-85-3577,280-72-2823,65
14,722-67-8736,183-60-8437,110
15,604-17-4858,664-94-4158,876
16,746-67-6269,267-02-2620,383
17,267-84-4305,700-19-8202,746
18,133-42-9805,484-85-3577,663
19,106-52-3658,127-07-1934,551
20,307-86-4146,577-36-4160,323
21,604-17-4858,884-38-3542,121
22,844-81-0333,182-91-9414,1375
23,869-07-9041,554-99-3518,461
24,506-40-7881,645-83-0179,509
25,212-63-7394,745-18-6689,363
26,884-38-3542,554-99-3518,867
27,827-17-8065,329-95-9039,900
28,869-07-9041,577-36-4160,855
29,267-84-4305,418-32-2400,756
30,711-12-7607,616-64-4164,201
31,307-86-4146,653-73-2887,252
32,533-01-1119,577-36-4160,81
33,137-59-6823,133-42-9805,731
34,380-33-3471,468-77-4288,69
35,363-69-7373,542-47-0145,851
36,448-98-4201,782-21-0023,767
37,844-81-0333,180-68-7704,415
38,814-47-7782,183-60-8437,472
39,180-68-7704,473-92-2173,831
40,133-42-9805,452-71-0670,392
41,867-72-5617,844-81-0333,924
42,133-42-9805,838-85-9491,498
43,440-96-4450,381-51-7467,682
44,114-77-8561,183-60-8437,824
45,484-97-3669,114-49-3228,645
46,231-62-0816,212-63-7394,913
47,884-38-3542,816-07-9951,302
48,665-74-7482,844-81-0333,453
49,230-71-0031,114-49-3228,55
50,726-98-9896,448-98-4201,316
51,508-38-2534,452-71-0670,954
52,448-98-4201,897-83-6353,885
53,726-98-9896,312-06-7133,734
54,722-67-8736,700-19-8202,460
55,293-16-7638,106-52-3658,281
56,554-99-3518,180-68-7704,373
57,604-17-4858,722-67-8736,89
58,267-84-4305,183-60-8437,92
59,745-18-6689,879-10-1534,98
60,280-72-2823,350-76-4581,879
61,592-89-3532,554-99-3518,961
62,322-84-0335,462-20-3505,506
63,500-80-0113,653-73-2887,910
64,267-84-4305,462-20-3505,700
65,542-47-0145,137-59-6823,144
66,592-89-3532,187-44-4055,208
67,380-33-3471,440-96-4450,205
68,700-19-8202,701-29-0287,707
69,350-76-4581,869-07-9041,574
70,114-77-8561,685-29-3762,911
71,838-85-9491,423-59-5269,642
72,867-72-5617,726-98-9896,949
73,267-02-2620,418-32-2400,357
74,643-85-8364,542-47-0145,974
75,508-38-2534,293-16-7638,381
76,811-96-4434,652-85-6112,169
77,722-67-8736,653-73-2887,884
78,652-88-6983,114-77-8561,85
79,316-16-8079,604-17-4858,79
80,533-01-1119,231-62-0816,284
81,577-36-4160,231-62-0816,294
82,484-85-3577,645-83-0179,203
83,811-96-4434,231-60-2925,169
84,722-41-3663,183-60-8437,401
85,867-72-5617,700-19-8202,269
86,230-71-0031,484-97-3669,502
87,542-47-0145,830-73-2137,270
88,554-99-3518,508-38-2534,240
89,722-67-8736,114-77-8561,143
90,182-91-9414,212-63-7394,438
91,418-32-2400,182-91-9414,1110
92,147-58-0553,508-38-2534,224
93,844-81-0333,484-85-3577,834
94,505-06-4182,350-76-4581,118
95,350-76-4581,500-80-0113,167
96,736-74-0267,869-07-9041,860
97,533-01-1119,592-89-3532,281
98,814-47-7782,577-36-4160,106
99,182-91-9414,395-96-3422,185
100,857-48-4236,736-74-0267,897
