id,person_id1,person_id2
1,114-49-3228,830-73-2137
2,616-64-4164,711-12-7607
3,616-64-4164,506-40-7881
4,726-98-9896,604-17-4858
5,329-95-9039,418-32-2400
6,182-91-9414,182-91-9414
7,652-88-6983,316-16-8079
8,616-64-4164,280-72-2823
9,782-21-0023,816-07-9951
10,604-17-4858,211-62-3861
11,811-96-4434,782-21-0023
12,652-88-6983,726-98-9896
13,484-85-3577,280-72-2823
14,722-67-8736,183-60-8437
15,604-17-4858,664-94-4158
16,746-67-6269,267-02-2620
17,267-84-4305,700-19-8202
18,133-42-9805,484-85-3577
19,106-52-3658,127-07-1934
20,307-86-4146,577-36-4160
21,604-17-4858,884-38-3542
22,844-81-0333,182-91-9414
23,869-07-9041,554-99-3518
24,506-40-7881,645-83-0179
25,212-63-7394,745-18-6689
26,884-38-3542,554-99-3518
27,827-17-8065,329-95-9039
28,869-07-9041,577-36-4160
29,267-84-4305,418-32-2400
30,711-12-7607,616-64-4164
31,307-86-4146,653-73-2887
32,533-01-1119,577-36-4160
33,137-59-6823,133-42-9805
34,380-33-3471,468-77-4288
35,363-69-7373,542-47-0145
36,448-98-4201,782-21-0023
37,844-81-0333,180-68-7704
38,814-47-7782,183-60-8437
39,180-68-7704,473-92-2173
40,133-42-9805,452-71-0670
41,867-72-5617,844-81-0333
42,133-42-9805,838-85-9491
43,440-96-4450,381-51-7467
44,114-77-8561,183-60-8437
45,484-97-3669,114-49-3228
46,231-62-0816,212-63-7394
47,884-38-3542,816-07-9951
48,665-74-7482,844-81-0333
49,230-71-0031,114-49-3228
50,726-98-9896,448-98-4201
51,508-38-2534,452-71-0670
52,448-98-4201,897-83-6353
53,726-98-9896,312-06-7133
54,722-67-8736,700-19-8202
55,293-16-7638,106-52-3658
56,554-99-3518,180-68-7704
57,604-17-4858,722-67-8736
58,267-84-4305,183-60-8437
59,745-18-6689,879-10-1534
60,280-72-2823,350-76-4581
61,592-89-3532,554-99-3518
62,322-84-0335,462-20-3505
63,500-80-0113,653-73-2887
64,267-84-4305,462-20-3505
65,542-47-0145,137-59-6823
66,592-89-3532,187-44-4055
67,380-33-3471,440-96-4450
68,700-19-8202,701-29-0287
69,350-76-4581,869-07-9041
70,114-77-8561,685-29-3762
71,838-85-9491,423-59-5269
72,867-72-5617,726-98-9896
73,267-02-2620,418-32-2400
74,643-85-8364,542-47-0145
75,508-38-2534,293-16-7638
76,811-96-4434,652-85-6112
77,722-67-8736,653-73-2887
78,652-88-6983,114-77-8561
79,316-16-8079,604-17-4858
80,533-01-1119,231-62-0816
81,577-36-4160,231-62-0816
82,484-85-3577,645-83-0179
83,811-96-4434,231-60-2925
84,722-41-3663,183-60-8437
85,867-72-5617,700-19-8202
86,230-71-0031,484-97-3669
87,542-47-0145,830-73-2137
88,554-99-3518,508-38-2534
89,722-67-8736,114-77-8561
90,182-91-9414,212-63-7394
91,418-32-2400,182-91-9414
92,147-58-0553,508-38-2534
93,844-81-0333,484-85-3577
94,505-06-4182,350-76-4581
95,350-76-4581,500-80-0113
96,736-74-0267,869-07-9041
97,533-01-1119,592-89-3532
98,814-47-7782,577-36-4160
99,182-91-9414,395-96-3422
100,857-48-4236,736-74-0267
