id,person_id1,person_id2
1,114-49-3228,830-73-2137
2,616-64-4164,711-12-7607
3,616-64-4164,506-40-7881
4,726-98-9896,604-17-4858
5,329-95-9039,418-32-2400
6,182-91-9414,182-91-9414
7,652-88-6983,316-16-8079
8,616-64-4164,280-72-2823
9,782-21-0023,816-07-9951
10,604-17-4858,211-62-3861
11,811-96-4434,782-21-0023
12,652-88-6983,726-98-9896
13,484-85-3577,280-72-2823
14,722-67-8736,183-60-8437
15,604-17-4858,664-94-4158
16,746-67-6269,267-02-2620
17,267-84-4305,700-19-8202
18,133-42-9805,484-85-3577
19,106-52-3658,127-07-1934
20,307-86-4146,577-36-4160
21,604-17-4858,884-38-3542
22,844-81-0333,182-91-9414
23,869-07-9041,554-99-3518
24,506-40-7881,645-83-0179
25,212-63-7394,745-18-6689
26,884-38-3542,554-99-3518
27,827-17-8065,329-95-9039
28,869-07-9041,577-36-4160
29,267-84-4305,418-32-2400
30,711-12-7607,616-64-4164
31,307-86-4146,653-73-2887
32,533-01-1119,577-36-4160
33,137-59-6823,133-42-9805
34,380-33-3471,468-77-4288
35,363-69-7373,542-47-0145
36,448-98-4201,782-21-0023
37,844-81-0333,180-68-7704
38,814-47-7782,183-60-8437
39,180-68-7704,473-92-2173
40,133-42-9805,452-71-0670
41,867-72-5617,844-81-0333
42,133-42-9805,838-85-9491
43,440-96-4450,381-51-7467
44,114-77-8561,183-60-8437
45,484-97-3669,114-49-3228
46,231-62-0816,212-63-7394
47,884-38-3542,816-07-9951
48,665-74-7482,844-81-0333
49,230-71-0031,114-49-3228
50,726-98-9896,448-98-4201
51,508-38-2534,452-71-0670
52,448-98-4201,897-83-6353
53,726-98-9896,312-06-7133
54,722-67-8736,700-19-8202
55,293-16-7638,106-52-3658
56,554-99-3518,180-68-7704
57,604-17-4858,722-67-8736
58,267-84-4305,183-60-8437
59,745-18-6689,879-10-1534
60,280-72-2823,350-76-4581
61,592-89-3532,554-99-3518
62,322-84-0335,462-20-3505
63,500-80-0113,653-73-2887
64,267-84-4305,462-20-3505
65,542-47-0145,137-59-6823
66,592-89-3532,187-44-4055
67,380-33-3471,440-96-4450
68,700-19-8202,701-29-0287
69,350-76-4581,869-07-9041
70,114-77-8561,685-29-3762
71,838-85-9491,423-59-5269
72,867-72-5617,726-98-9896
73,267-02-2620,418-32-2400
74,643-85-8364,542-47-0145
75,508-38-2534,293-16-7638
76,811-96-4434,652-85-6112
77,722-67-8736,653-73-2887
78,652-88-6983,114-77-8561
79,316-16-8079,604-17-4858
80,533-01-1119,231-62-0816
81,577-36-4160,231-62-0816
82,484-85-3577,645-83-0179
83,811-96-4434,231-60-2925
84,722-41-3663,183-60-8437
85,867-72-5617,700-19-8202
86,230-71-0031,484-97-3669
87,542-47-0145,830-73-2137
88,554-99-3518,508-38-2534
89,722-67-8736,114-77-8561
90,182-91-9414,212-63-7394
91,418-32-2400,182-91-9414
92,147-58-0553,508-38-2534
93,844-81-0333,484-85-3577
94,505-06-4182,350-76-4581
95,350-76-4581,500-80-0113
96,736-74-0267,869-07-9041
97,533-01-1119,592-89-3532
98,814-47-7782,577-36-4160
99,182-91-9414,395-96-3422
100,857-48-4236,736-74-0267
101,830-73-2137,395-96-3422
102,848-01-9094,897-83-6353
103,359-33-2805,542-47-0145
104,643-85-8364,484-85-3577
105,312-06-7133,665-74-7482
106,746-67-6269,276-64-0016
107,452-71-0670,722-67-8736
108,448-98-4201,665-74-7482
109,452-71-0670,533-01-1119
110,289-48-9142,745-18-6689
111,592-89-3532,267-84-4305
112,604-17-4858,848-01-9094
113,468-77-4288,440-96-4450
114,316-16-8079,280-72-2823
115,322-84-0335,462-20-3505
116,359-33-2805,844-81-0333
117,187-44-4055,423-59-5269
118,685-29-3762,884-38-3542
119,652-88-6983,187-44-4055
120,782-21-0023,736-74-0267
121,194-28-1044,293-16-7638
122,462-20-3505,814-47-7782
123,533-01-1119,307-86-4146
124,815-75-0678,380-33-3471
125,604-17-4858,726-98-9896
126,350-76-4581,114-77-8561
127,884-38-3542,884-38-3542
128,267-84-4305,293-16-7638
129,884-38-3542,231-60-2925
130,473-92-2173,473-92-2173
131,182-91-9414,664-94-4158
132,897-83-6353,395-96-3422
133,616-64-4164,554-99-3518
134,505-06-4182,267-84-4305
135,604-17-4858,700-19-8202
136,500-80-0113,211-62-3861
137,604-17-4858,484-85-3577
138,180-68-7704,645-83-0179
139,848-01-9094,751-79-3881
140,418-32-2400,462-20-3505
141,318-72-3945,585-26-7329
142,231-62-0816,722-41-3663
143,452-71-0670,506-40-7881
144,267-02-2620,182-91-9414
145,316-16-8079,212-63-7394
146,776-52-9204,685-29-3762
147,363-69-7373,592-89-3532
148,267-02-2620,231-62-0816
149,230-71-0031,484-85-3577
150,133-42-9805,266-07-5848
151,468-77-4288,745-18-6689
152,701-29-0287,751-79-3881
153,745-18-6689,857-48-4236
154,180-68-7704,585-26-7329
155,897-83-6353,711-12-7607
156,751-79-3881,280-72-2823
157,869-07-9041,653-73-2887
158,127-07-1934,830-73-2137
159,183-60-8437,318-72-3945
160,577-36-4160,280-72-2823
161,329-95-9039,592-89-3532
162,814-47-7782,737-39-6279
163,322-84-0335,363-69-7373
164,363-69-7373,652-88-6983
165,645-83-0179,645-83-0179
166,751-79-3881,395-96-3422
167,359-33-2805,440-96-4450
168,307-86-4146,879-10-1534
169,542-47-0145,844-81-0333
170,182-91-9414,508-38-2534
171,737-39-6279,542-47-0145
172,652-85-6112,879-10-1534
173,653-73-2887,127-07-1934
174,830-73-2137,418-32-2400
175,776-97-0801,473-92-2173
176,610-96-4049,363-69-7373
177,711-12-7607,350-76-4581
178,814-47-7782,664-94-4158
179,533-01-1119,816-07-9951
180,127-07-1934,665-74-7482
181,350-76-4581,701-29-0287
182,423-59-5269,884-38-3542
183,745-18-6689,652-88-6983
184,592-89-3532,585-26-7329
185,782-21-0023,231-60-2925
186,178-82-4865,585-26-7329
187,114-49-3228,542-47-0145
188,182-91-9414,737-39-6279
189,652-85-6112,147-58-0553
190,293-16-7638,879-10-1534
191,665-74-7482,814-47-7782
192,211-62-3861,322-84-0335
193,508-38-2534,276-64-0016
194,664-94-4158,884-38-3542
195,814-47-7782,685-29-3762
196,267-84-4305,178-82-4865
197,363-69-7373,381-51-7467
198,329-95-9039,857-48-4236
199,884-38-3542,645-83-0179
200,127-07-1934,395-96-3422
201,844-81-0333,211-62-3861
202,423-59-5269,751-79-3881
203,381-51-7467,542-47-0145
204,643-85-8364,897-83-6353
205,182-91-9414,811-96-4434
206,711-12-7607,848-01-9094
207,816-07-9951,533-01-1119
208,533-01-1119,307-86-4146
209,879-10-1534,178-82-4865
210,653-73-2887,350-76-4581
211,231-60-2925,664-94-4158
212,473-92-2173,884-38-3542
213,508-38-2534,652-88-6983
214,267-02-2620,231-62-0816
215,776-97-0801,183-60-8437
216,452-71-0670,212-63-7394
217,106-52-3658,267-84-4305
218,182-91-9414,183-60-8437
219,423-59-5269,857-48-4236
220,182-91-9414,267-02-2620
221,726-98-9896,776-97-0801
222,533-01-1119,745-18-6689
223,381-51-7467,106-52-3658
224,363-69-7373,815-75-0678
225,737-39-6279,782-21-0023
226,505-06-4182,211-62-3861
227,884-38-3542,280-72-2823
228,231-62-0816,280-72-2823
229,468-77-4288,816-07-9951
230,359-33-2805,363-69-7373
231,312-06-7133,844-81-0333
232,811-96-4434,289-48-9142
233,468-77-4288,533-01-1119
234,857-48-4236,533-01-1119
235,266-07-5848,652-85-6112
236,664-94-4158,815-75-0678
237,592-89-3532,616-64-4164
238,867-72-5617,194-28-1044
239,643-85-8364,811-96-4434
240,180-68-7704,508-38-2534
241,857-48-4236,746-67-6269
242,316-16-8079,604-17-4858
243,180-68-7704,318-72-3945
244,468-77-4288,452-71-0670
245,363-69-7373,230-71-0031
246,187-44-4055,604-17-4858
247,610-96-4049,604-17-4858
248,418-32-2400,879-10-1534
249,711-12-7607,484-97-3669
250,776-52-9204,505-06-4182
251,276-64-0016,231-62-0816
252,722-41-3663,211-62-3861
253,280-72-2823,505-06-4182
254,665-74-7482,132-36-8264
255,395-96-3422,289-48-9142
256,231-62-0816,506-40-7881
257,423-59-5269,782-21-0023
258,280-72-2823,307-86-4146
259,316-16-8079,137-59-6823
260,664-94-4158,745-18-6689
261,182-91-9414,418-32-2400
262,276-64-0016,554-99-3518
263,726-98-9896,178-82-4865
264,395-96-3422,838-85-9491
265,350-76-4581,132-36-8264
266,592-89-3532,508-38-2534
267,500-80-0113,293-16-7638
268,106-52-3658,276-64-0016
269,722-67-8736,280-72-2823
270,307-86-4146,289-48-9142
271,722-67-8736,329-95-9039
272,867-72-5617,830-73-2137
273,745-18-6689,879-10-1534
274,440-96-4450,350-76-4581
275,830-73-2137,322-84-0335
276,359-33-2805,182-91-9414
277,592-89-3532,316-16-8079
278,473-92-2173,114-49-3228
279,643-85-8364,508-38-2534
280,211-62-3861,473-92-2173
281,685-29-3762,776-97-0801
282,814-47-7782,616-64-4164
283,577-36-4160,380-33-3471
284,645-83-0179,884-38-3542
285,610-96-4049,508-38-2534
286,484-97-3669,508-38-2534
287,182-91-9414,604-17-4858
288,746-67-6269,838-85-9491
289,506-40-7881,452-71-0670
290,322-84-0335,440-96-4450
291,106-52-3658,811-96-4434
292,187-44-4055,665-74-7482
293,484-97-3669,506-40-7881
294,194-28-1044,838-85-9491
295,745-18-6689,736-74-0267
296,350-76-4581,350-76-4581
297,280-72-2823,329-95-9039
298,604-17-4858,610-96-4049
299,665-74-7482,653-73-2887
300,448-98-4201,132-36-8264
301,542-47-0145,114-77-8561
302,231-62-0816,884-38-3542
303,231-62-0816,746-67-6269
304,604-17-4858,137-59-6823
305,318-72-3945,711-12-7607
306,665-74-7482,363-69-7373
307,701-29-0287,329-95-9039
308,381-51-7467,811-96-4434
309,542-47-0145,751-79-3881
310,645-83-0179,811-96-4434
311,745-18-6689,180-68-7704
312,267-02-2620,664-94-4158
313,211-62-3861,745-18-6689
314,230-71-0031,811-29-1135
315,452-71-0670,652-85-6112
316,585-26-7329,231-60-2925
317,814-47-7782,307-86-4146
318,776-97-0801,178-82-4865
319,652-85-6112,468-77-4288
320,418-32-2400,776-97-0801
321,701-29-0287,645-83-0179
322,848-01-9094,180-68-7704
323,746-67-6269,542-47-0145
324,585-26-7329,473-92-2173
325,610-96-4049,745-18-6689
326,194-28-1044,178-82-4865
327,114-77-8561,147-58-0553
328,700-19-8202,194-28-1044
329,776-52-9204,652-88-6983
330,737-39-6279,665-74-7482
